condition,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM,jitter,iti,facepath
正脸负词,woman_sub43,happiness,positive,绝  望,negative,-2.31,3.32,633,6.0,1,0.42,1.15,Session_01/Emotional_faces_gray/woman_sub43/happiness.jpg
正性一致,woman_sub48,happiness,positive,出  色,positive,2.16,3.04,1277,5.65,1,0.48,0.88,Session_01/Emotional_faces_gray/woman_sub48/happiness.jpg
负性一致,man_sub17,anger,negative,抱  怨,negative,-1.63,2.0,886,5.590909091,1,0.34,1.1,Session_01/Emotional_faces_gray/man_sub17/anger.jpg
负性一致,man_sub7,disgust,negative,烦  躁,negative,-1.71,2.75,94,6.136363636,1,0.35,1.17,Session_01/Emotional_faces_gray/man_sub7/disgust.jpg
负脸正词,man_sub27,fear,negative,满  意,positive,2.11,2.96,1063,6.428571429,1,0.47,1.03,Session_01/Emotional_faces_gray/man_sub27/fear.jpg
负脸正词,woman_sub52,fear,negative,高  尚,positive,2.43,2.36,264,6.227272727,1,0.39,0.85,Session_01/Emotional_faces_gray/woman_sub52/fear.jpg
正脸负词,man_sub43,happiness,positive,阴  谋,negative,-2.08,2.71,448,4.590909091,2,0.35,0.9,Session_01/Emotional_faces_gray/man_sub43/happiness.jpg
负脸正词,man_sub51,disgust,negative,赞  扬,positive,2.21,2.65,113,6.19047619,1,0.43,1.07,Session_01/Emotional_faces_gray/man_sub51/disgust.jpg
负性一致,woman_sub6,anger,negative,慌  张,negative,-1.52,2.84,80,6.454545455,1,0.44,1.07,Session_01/Emotional_faces_gray/woman_sub6/anger.jpg
负性一致,woman_sub53,anger,negative,狂  妄,negative,-1.46,2.76,37,5.909090909,1,0.46,0.98,Session_01/Emotional_faces_gray/woman_sub53/anger.jpg
负脸正词,woman_sub35,sadness,negative,赞  美,positive,2.08,3.11,294,5.363636364,1,0.38,1.11,Session_01/Emotional_faces_gray/woman_sub35/sadness.jpg
正性一致,woman_sub55,happiness,positive,欢  笑,positive,2.17,2.79,161,5.0,1,0.38,0.92,Session_01/Emotional_faces_gray/woman_sub55/happiness.jpg
正脸负词,woman_sub45,happiness,positive,烦  躁,negative,-1.71,2.75,94,6.136363636,1,0.43,0.93,Session_01/Emotional_faces_gray/woman_sub45/happiness.jpg
正性一致,woman_sub8,happiness,positive,高  尚,positive,2.43,2.36,264,6.227272727,1,0.4,1.14,Session_01/Emotional_faces_gray/woman_sub8/happiness.jpg
负脸正词,woman_sub31,disgust,negative,幸  福,positive,2.29,3.0,1203,5.727272727,2,0.47,1.03,Session_01/Emotional_faces_gray/woman_sub31/disgust.jpg
正性一致,woman_sub16,happiness,positive,亲  切,positive,1.8,2.38,148,6.0,2,0.45,0.99,Session_01/Emotional_faces_gray/woman_sub16/happiness.jpg
负性一致,man_sub12,fear,negative,狭  隘,negative,-1.96,2.21,42,4.909090909,2,0.34,1.01,Session_01/Emotional_faces_gray/man_sub12/fear.jpg
正性一致,woman_sub47,happiness,positive,爱  护,positive,2.11,2.44,77,6.136363636,1,0.32,0.91,Session_01/Emotional_faces_gray/woman_sub47/happiness.jpg
正性一致,man_sub42,happiness,positive,感  动,positive,1.92,2.96,482,6.181818182,2,0.4,0.81,Session_01/Emotional_faces_gray/man_sub42/happiness.jpg
正脸负词,woman_sub7,happiness,positive,凶  狠,negative,-1.8,3.04,52,6.045454545,1,0.36,0.93,Session_01/Emotional_faces_gray/woman_sub7/happiness.jpg
正脸负词,woman_sub24,happiness,positive,悲  哀,negative,-1.92,2.0,278,6.0,1,0.47,0.97,Session_01/Emotional_faces_gray/woman_sub24/happiness.jpg
正脸负词,woman_sub20,happiness,positive,讽  刺,negative,-1.69,2.95,589,5.409090909,1,0.32,0.91,Session_01/Emotional_faces_gray/woman_sub20/happiness.jpg
负性一致,man_sub36,sadness,negative,可  恶,negative,-1.84,3.0,443,5.095238095,1,0.39,1.09,Session_01/Emotional_faces_gray/man_sub36/sadness.jpg
正脸负词,woman_sub44,happiness,positive,狂  妄,negative,-1.46,2.76,37,5.909090909,1,0.44,1.07,Session_01/Emotional_faces_gray/woman_sub44/happiness.jpg
